district_name_display,practical_days_cushion,conservative_reserve_ratio,uab_cushion,crl_capacity_used_pct,risk_flag_count,risk_class,is_named_focus,is_focus15
Ankeny CSD,37.462711336529296,0.1000671127482586,0.1337808528210255,0.6732133481360946,2,Moderate risk,True,True
Monticello,37.53025028353867,0.1028226035165443,0.1365598007906042,0.6287762971708083,2,Moderate risk,False,False
,38.44936215799973,0.1053407182410951,,,1,Moderate risk,False,False
Keota,38.69635080899453,0.1060173994766973,0.2785896387331994,0.8039441499998995,1,Moderate risk,False,False
Central De Witt,39.129233025435866,0.107203378151879,0.0145543992880035,1.0,3,Moderate risk,False,False
Osage,39.19551907245472,0.1006635502545655,0.2556508722391943,0.6076846527624528,3,Moderate risk,False,False
New London,39.42493624167388,0.1080135239497914,0.1570364190537445,0.2197584739237152,3,Moderate risk,False,False
Davis County,39.82873194468317,0.1091198135470771,0.2663690501460156,0.8475212562881527,3,Moderate risk,False,False
Pekin,39.877672596654136,0.1092538975250798,0.2695586508838737,0.7073936787300869,4,High risk,False,False
Maple Valley-Anthon Oto,40.19831735251901,0.1101323763082712,0.1396131430578053,0.7155315057466124,4,High risk,False,False
Winfield-Mt Union,40.82794922760565,0.111857395144125,0.3300610410891545,0.3820873784239001,2,Moderate risk,False,False
Baxter,41.10349895364613,0.1126123259004003,0.0848949765797512,0.7163002488542702,2,Moderate risk,False,False
Nevada,41.31257929666007,0.1004451370649422,0.2215508663985516,0.4215372507116369,2,Moderate risk,False,False
Hubbard-Radcliffe,41.87348087667482,0.1147218654155474,0.2672787319827546,0.4751758150515691,2,Moderate risk,False,False
New Hampton,41.90351861832958,0.1148041605981632,0.3580134290568476,0.4191234284967048,2,Moderate risk,False,False
Madrid,42.19584629862568,0.1147663525316246,0.3889016083624733,0.9598654872432196,2,Moderate risk,False,False
Allamakee,42.19990147792345,0.1156161684326669,0.3703281853587155,0.313399309111223,2,Moderate risk,False,False
Southeast Polk,42.25880712578898,0.1157775537692848,0.2086503848605399,0.2608222685383031,2,Moderate risk,False,False
College Community CSD (Prairie),42.91082234875447,0.115721759680721,0.1816755286896181,1.0,5,High risk,False,True
Dike-New Hartford,43.50502736255387,0.1191918557878188,0.2322086986655072,0.8855115888755033,1,Moderate risk,False,False
Waukee CSD,43.78105890023851,0.1169152511826179,0.4501147621772601,1.0,2,Moderate risk,True,True
Alta-Aurelia,44.33942256329095,0.1214778700364135,0.5393713659337953,0.6502993544695075,3,Moderate risk,False,False
Johnston CSD,44.368066188549655,0.1215563457220538,0.2749047879635655,1.0,4,High risk,False,True
,44.39923058158019,0.1216417276207676,,,0,Moderate risk,False,False
River Valley,44.91797616192931,0.1230629483888474,0.2476872969676785,1.0,5,High risk,False,False
West Harrison,44.92610238734695,0.1230852120201286,0.1902852231203996,0.7012147376638798,2,Moderate risk,False,False
