fiscal_year,days_cash_on_hand,basis,source
2026,36.6,management projection,"COO Curt Pratt, 'FY26-FY28 Cash Flow Narrative,' ICCSD board packet item B.01.01, Apr 1 2026"
2027,23.2,management projection,"COO Curt Pratt, 'FY26-FY28 Cash Flow Narrative,' ICCSD board packet item B.01.01, Apr 1 2026"
2028,16.9,management projection,"COO Curt Pratt, 'FY26-FY28 Cash Flow Narrative,' ICCSD board packet item B.01.01, Apr 1 2026"
