district,fiscal_year,data_basis,peer_group,days_net_cash,moodys_net_cash_ratio,current_ratio,receivables_inventory_ratio,creditor_equity_ratio,solvency_ratio,moodys_avail_fb_ratio,sp_available_reserves_pct,unrestricted_np_pp,uab_pct_of_max,ubr_unrestricted_pct,operating_margin,sp_oper_result_3yr,employee_cost_ratio,foundation_aid_ratio,transportation_ratio,investment_income_ratio,gf_per_pupil,local_share_pct,moodys_ltl_ratio,moodys_fixed_costs_ratio,sp_current_cost_pct,net_direct_debt_pp,npl_pp,debt_per_pupil,enrollment_cagr_3yr,valuation_per_pupil,grand_total_levy_rate,certified_enrollment,opinion_type,findings_count,repeat_finding,report_lag_months,gfoa_award,confidence,sources
Cedar Rapids CSD,2016,audited,Large (>14k),73.3,19.4,128.8,66.04,0.0,11.15,10.7,10.7,-4021,,,3.16,,,55.8,,,11461,,109.7,11.2,10.6,7114,5583,7114,,,,16939.0,unmodified,2,Y,5,Y,High,
Cedar Rapids CSD,2017,audited,Large (>14k),82.7,22.3,134.5,63.15,0.0,14.03,13.5,13.5,-3570,,,1.59,2.78,,57.2,2.96,0.023,11623,39.3,115.9,11.0,12.8,6560,6829,6560,,,,17092.0,unmodified,2,Y,6,Y,High,
Cedar Rapids CSD,2018,audited,Large (>14k),91.9,25.2,134.9,60.48,0.0,15.29,14.7,14.7,-3564,,,-0.07,1.56,,56.8,3.05,0.167,11961,39.4,114.9,10.6,12.6,6059,7135,6059,0.56,,,17129.0,unmodified,3,Y,6,Y,High,
Cedar Rapids CSD,2019,audited,Large (>14k),87.9,24.5,132.6,61.48,0.0,14.08,14.1,14.1,-3726,,,-1.86,-0.11,,55.9,3.67,0.348,12535,39.8,125.7,10.6,10.7,7384,6755,7384,0.05,,,16963.0,unmodified,2,Y,6,Y,High,
Cedar Rapids CSD,2020,audited,Large (>14k),83.5,23.5,125.8,63.64,0.0,12.24,11.8,11.8,-4493,7.61,,-2.81,-1.58,80.9,54.0,3.4,0.189,12947,39.6,111.7,,,6467,6142,6467,-0.47,322661,15.07,16851.0,unmodified,4,Y,7,Y,audited,
Cedar Rapids CSD,2021,audited,Large (>14k),78.1,21.2,131.3,66.25,0.0,14.26,13.7,13.7,-3592,10.32,,1.0,-1.22,80.5,52.1,2.85,0.005,13661,39.8,113.5,,,6710,7605,6710,-1.77,341933,15.36,16237.0,unmodified,2,Y,7,Y,audited,
Cedar Rapids CSD,2022,audited,Large (>14k),77.1,20.7,137.7,65.07,0.0,12.5,12.1,12.1,-786,11.79,,1.81,0.0,78.9,49.9,3.13,0.03,14206,37.8,54.1,,,6372,152,6372,-1.75,350206,15.36,16086.0,unmodified,1,N,6,Y,audited,
Cedar Rapids CSD,2023,audited,Large (>14k),93.4,24.9,143.0,58.8,0.0,16.85,16.3,16.3,-1614,11.71,,2.58,1.8,78.0,51.4,3.36,0.588,15653,37.0,81.8,,,7070,4581,7070,-4.55,392795,14.73,14652.0,unmodified,2,N,7,Y,audited,
Cedar Rapids CSD,2024,audited,Large (>14k),99.1,27.0,143.3,57.56,0.0,17.39,16.8,16.8,-581,13.46,,0.55,1.65,78.0,,,,14449,,87.2,,,7046,4227,7046,-0.2,364501,14.67,16139.0,unmodified,2,Y,7,Y,audited,
Cedar Rapids CSD,2025,audited,Large (>14k),93.3,26.7,132.6,57.6,0.0,13.8,13.4,13.4,-91,12.96,,-4.53,-0.47,78.6,,,,14910,,81.5,,,7345,3290,7345,0.07,368765,13.9,16120.0,unmodified,,,6,Y,audited,
Davenport CSD,2015,audited,Mid (7-14k),104.1,28.7,128.1,54.44,0.0,,13.6,13.6,,,,-0.47,,,,,0.144,,,43.7,6.2,6.8,,,,,,,,unmodified,7,N,8,Y,High,
Davenport CSD,2016,audited,Mid (7-14k),92.0,25.6,125.6,55.89,0.0,,11.7,11.7,,,,-1.55,,,,,0.039,,,50.9,6.3,6.8,,,,,,,,unmodified,5,Y,7,Y,High,
