district,fiscal_year,mw_financial,mw_federal,source
Iowa City CSD,2023,1,1,"auditor's report: item 2023-001 (financial) and item 2023-004 (federal) considered material weaknesses"
Iowa City CSD,2024,5,3,"auditor's report: items 2024-001 through 2024-005 (financial) and 2024-009 through 2024-011 (federal) material weaknesses"
Davenport CSD,2020,2,1,"auditor's report: items 2020-001 and 2020-002 (financial); item 2020-005 (federal) material weaknesses"
Davenport CSD,2021,1,1,"auditor's report: item 2021-001 (financial); item 2021-005 (federal) material weaknesses"
Davenport CSD,2022,1,0,"auditor's report: item 2022-001 (financial) material weakness"
Des Moines CSD,2025,1,0,"auditor's report: item 2025-001 considered a material weakness"
Waterloo CSD,2021,1,0,"auditor's report: ""a material weakness"" (singular) over financial reporting"
Waterloo CSD,2023,1,0,"schedule of findings: one financial-statement material weakness"
