district_code,district_name,fiscal_year,transfers_in
441,AHSTW,2020,2560.81
441,AHSTW,2021,7949.27
441,AHSTW,2022,1015.0
441,AHSTW,2023,11858.79
441,AHSTW,2024,6857.19
472,Ballard,2017,0.0
472,Ballard,2018,0.0
472,Ballard,2019,0.0
472,Ballard,2020,0.0
472,Ballard,2021,0.0
472,Ballard,2022,0.0
472,Ballard,2023,0.0
472,Ballard,2024,0
504,Battle Creek-Ida Grove,2017,0.0
504,Battle Creek-Ida Grove,2018,0.0
513,Baxter,2017,0.0
513,Baxter,2018,0.0
513,Baxter,2019,0.0
513,Baxter,2020,0.0
513,Baxter,2021,0.0
513,Baxter,2022,25491.91
513,Baxter,2023,0.0
513,Baxter,2024,0
540,BCLUW,2017,3245.0
540,BCLUW,2018,3200.0
540,BCLUW,2019,4378.99
540,BCLUW,2020,3744.72
540,BCLUW,2021,1191.5
540,BCLUW,2022,3016.0
540,BCLUW,2023,4500.0
540,BCLUW,2024,4500
549,Bedford,2017,0.0
549,Bedford,2018,0.0
549,Bedford,2019,0.0
549,Bedford,2020,0.0
549,Bedford,2021,0.0
549,Bedford,2022,30000.0
549,Bedford,2023,0.0
549,Bedford,2024,0
576,Belle Plaine,2017,0.0
576,Belle Plaine,2018,0.0
576,Belle Plaine,2019,0.0
576,Belle Plaine,2020,0.0
576,Belle Plaine,2021,0.0
576,Belle Plaine,2022,10100.0
576,Belle Plaine,2023,0.0
576,Belle Plaine,2024,0
585,Bellevue,2017,1033.0
585,Bellevue,2018,0.0
585,Bellevue,2019,4901.22
585,Bellevue,2020,3572.39
585,Bellevue,2021,4740.8
585,Bellevue,2022,8266.56
585,Bellevue,2023,8308.39
585,Bellevue,2024,32011.52
594,Belmond-Klemme,2017,0.0
594,Belmond-Klemme,2018,366.0
594,Belmond-Klemme,2019,11567.65
594,Belmond-Klemme,2020,3272.03
594,Belmond-Klemme,2021,30306.59
594,Belmond-Klemme,2022,21856.17
594,Belmond-Klemme,2023,0.0
594,Belmond-Klemme,2024,12671.5
603,Bennett,2017,0.0
603,Bennett,2018,0.0
603,Bennett,2019,0.0
603,Bennett,2020,0.0
603,Bennett,2021,0.0
603,Bennett,2022,0.0
603,Bennett,2023,0.0
603,Bennett,2024,0
609,Benton,2017,252.0
609,Benton,2018,0.0
609,Benton,2019,0.0
609,Benton,2020,0.0
609,Benton,2021,0.0
609,Benton,2022,0.0
609,Benton,2023,0.0
609,Benton,2024,0
621,Bettendorf,2017,0.0
621,Bettendorf,2018,0.0
621,Bettendorf,2019,20000.0
621,Bettendorf,2020,20000.0
621,Bettendorf,2021,20000.0
621,Bettendorf,2022,20000.0
621,Bettendorf,2023,20000.0
621,Bettendorf,2024,20400
657,Eddyville-Blakesburg-Fremont,2017,37.0
657,Eddyville-Blakesburg-Fremont,2018,10000.0
657,Eddyville-Blakesburg-Fremont,2019,0.0
657,Eddyville-Blakesburg-Fremont,2020,0.0
657,Eddyville-Blakesburg-Fremont,2021,0.0
657,Eddyville-Blakesburg-Fremont,2022,12018.55
657,Eddyville-Blakesburg-Fremont,2023,11169.64
657,Eddyville-Blakesburg-Fremont,2024,14410.34
720,Bondurant-Farrar,2017,9272.0
720,Bondurant-Farrar,2018,0.0
720,Bondurant-Farrar,2019,10000.0
720,Bondurant-Farrar,2020,0.0
720,Bondurant-Farrar,2021,20730.5
720,Bondurant-Farrar,2022,38909.11
720,Bondurant-Farrar,2023,22384.08
720,Bondurant-Farrar,2024,20229.98
729,Boone,2017,0.0
729,Boone,2018,0.0
729,Boone,2019,0.0
729,Boone,2020,0.0
729,Boone,2021,33099.57
729,Boone,2022,13604.28
729,Boone,2023,0.0
729,Boone,2024,0
747,Boyden-Hull,2017,0.0
747,Boyden-Hull,2018,0.0
747,Boyden-Hull,2019,0.0
747,Boyden-Hull,2020,0.0
747,Boyden-Hull,2021,0.0
747,Boyden-Hull,2022,38000.0
747,Boyden-Hull,2023,0.0
747,Boyden-Hull,2024,0
819,West Hancock,2017,0.0
819,West Hancock,2018,0.0
819,West Hancock,2019,0.0
819,West Hancock,2020,5527.36
819,West Hancock,2021,0.0
819,West Hancock,2022,0.0
819,West Hancock,2023,0.0
819,West Hancock,2024,0
846,Brooklyn-Guernsey-Malcom,2017,0.0
846,Brooklyn-Guernsey-Malcom,2018,104.0
846,Brooklyn-Guernsey-Malcom,2019,0.0
846,Brooklyn-Guernsey-Malcom,2020,0.0
846,Brooklyn-Guernsey-Malcom,2021,0.0
846,Brooklyn-Guernsey-Malcom,2022,0.0
846,Brooklyn-Guernsey-Malcom,2023,0.0
846,Brooklyn-Guernsey-Malcom,2024,0
873,North Iowa,2017,0.0
873,North Iowa,2018,0.0
873,North Iowa,2019,0.0
873,North Iowa,2020,12000.0
873,North Iowa,2021,26000.0
873,North Iowa,2022,5485.59
873,North Iowa,2023,3868.01
873,North Iowa,2024,6363.84
882,Burlington,2017,0.0
882,Burlington,2018,0.0
882,Burlington,2019,0.0
882,Burlington,2020,0.0
882,Burlington,2021,0.0
882,Burlington,2022,0.0
882,Burlington,2023,0.0
882,Burlington,2024,0
914,CAM,2017,0.0
914,CAM,2018,0.0
914,CAM,2019,2320.0
914,CAM,2020,3466.84
914,CAM,2021,7000.0
914,CAM,2022,0.0
914,CAM,2023,10465.0
914,CAM,2024,0
916,CAL,2017,0.0
916,CAL,2018,0.0
916,CAL,2019,0.0
916,CAL,2020,0.0
916,CAL,2021,0.0
916,CAL,2022,0.0
916,CAL,2023,0.0
916,CAL,2024,0
918,Calamus-Wheatland,2017,0.0
918,Calamus-Wheatland,2018,0.0
918,Calamus-Wheatland,2019,0.0
918,Calamus-Wheatland,2020,0.0
918,Calamus-Wheatland,2021,0.0
918,Calamus-Wheatland,2022,0.0
918,Calamus-Wheatland,2023,0.0
918,Calamus-Wheatland,2024,0
936,Camanche,2017,0.0
936,Camanche,2018,0.0
936,Camanche,2019,0.0
936,Camanche,2020,0.0
936,Camanche,2021,0.0
936,Camanche,2022,0.0
936,Camanche,2023,0.0
936,Camanche,2024,0
977,Cardinal,2017,0.0
977,Cardinal,2018,0.0
977,Cardinal,2019,0.0
977,Cardinal,2020,0.0
977,Cardinal,2021,20000.0
977,Cardinal,2022,0.0
977,Cardinal,2023,12345.74
977,Cardinal,2024,0
981,Carlisle,2017,0.0
981,Carlisle,2018,0.0
981,Carlisle,2019,0.0
981,Carlisle,2020,0.0
981,Carlisle,2021,36000.0
981,Carlisle,2022,0.0
981,Carlisle,2023,0.0
981,Carlisle,2024,0
999,Carroll,2017,0.0
999,Carroll,2018,0.0
999,Carroll,2019,0.0
999,Carroll,2020,0.0
999,Carroll,2021,0.0
999,Carroll,2022,0.0
999,Carroll,2023,0.0
999,Carroll,2024,0
1044,Cedar Falls,2017,0.0
1044,Cedar Falls,2018,0.0
1044,Cedar Falls,2019,0.0
1044,Cedar Falls,2020,0.0
1044,Cedar Falls,2021,0.0
1044,Cedar Falls,2022,0.0
1044,Cedar Falls,2023,0.0
1044,Cedar Falls,2024,0
1053,Cedar Rapids,2017,0.0
1053,Cedar Rapids,2018,0.0
1053,Cedar Rapids,2019,0.0
1053,Cedar Rapids,2020,0.0
1053,Cedar Rapids,2021,160121.31
1053,Cedar Rapids,2022,358932.42
1053,Cedar Rapids,2023,0.0
1053,Cedar Rapids,2024,0
1062,Center Point-Urbana,2017,0.0
1062,Center Point-Urbana,2018,0.0
1062,Center Point-Urbana,2019,0.0
1062,Center Point-Urbana,2020,0.0
1062,Center Point-Urbana,2021,0.0
1062,Center Point-Urbana,2022,0.0
1062,Center Point-Urbana,2023,0.0
1062,Center Point-Urbana,2024,0
1071,Centerville,2017,0.0
1071,Centerville,2018,0.0
1071,Centerville,2019,0.0
1071,Centerville,2020,0.0
1071,Centerville,2021,9988.33
1071,Centerville,2022,0.0
1071,Centerville,2023,7402.8
1071,Centerville,2024,0
1079,Central Lee,2017,0.0
1079,Central Lee,2018,0.0
1079,Central Lee,2019,0.0
1079,Central Lee,2020,0.0
1079,Central Lee,2021,0.0
1079,Central Lee,2022,0.0
1079,Central Lee,2023,0.0
1079,Central Lee,2024,0
1080,Central Clayton,2017,0.0
1080,Central Clayton,2018,0.0
1080,Central Clayton,2019,0.0
1080,Central Clayton,2020,0.0
1080,Central Clayton,2021,0.0
1080,Central Clayton,2022,0.0
1080,Central Clayton,2023,0.0
1080,Central Clayton,2024,0
1082,Central De Witt,2017,0.0
1082,Central De Witt,2018,0.0
1082,Central De Witt,2019,0.0
1082,Central De Witt,2020,0.0
1082,Central De Witt,2021,0.0
1082,Central De Witt,2022,0.0
1082,Central De Witt,2023,0.0
1082,Central De Witt,2024,2481.54
1089,Central City,2017,0.0
1089,Central City,2018,3500.0
1089,Central City,2019,0.0
1089,Central City,2020,0.0
1089,Central City,2021,0.0
1089,Central City,2022,0.0
1089,Central City,2023,0.0
1089,Central City,2024,717.35
1093,Central Decatur,2017,658.0
1093,Central Decatur,2018,0.0
1093,Central Decatur,2019,925.01
1093,Central Decatur,2020,5000.0
1093,Central Decatur,2021,5010.52
1093,Central Decatur,2022,5499.85
1093,Central Decatur,2023,5471.1
1093,Central Decatur,2024,6136.94
1095,Central Lyon,2017,0.0
1095,Central Lyon,2018,0.0
1095,Central Lyon,2019,0.0
1095,Central Lyon,2020,0.0
1095,Central Lyon,2021,0.0
1095,Central Lyon,2022,0.0
1095,Central Lyon,2023,0.0
1095,Central Lyon,2024,0
1107,Chariton,2017,0.0
1107,Chariton,2018,0.0
1107,Chariton,2019,0.0
1107,Chariton,2020,0.0
1107,Chariton,2021,0.0
1107,Chariton,2022,0.0
1107,Chariton,2023,0.0
1107,Chariton,2024,870
1116,Charles City,2017,0.0
1116,Charles City,2018,0.0
1116,Charles City,2019,0.0
1116,Charles City,2020,0.0
1116,Charles City,2021,80208.9
1116,Charles City,2022,0.0
1116,Charles City,2023,39267.42
1116,Charles City,2024,18670.25
1134,Charter Oak-Ute,2017,0.0
1134,Charter Oak-Ute,2018,0.0
1134,Charter Oak-Ute,2019,0.0
1134,Charter Oak-Ute,2020,0.0
1134,Charter Oak-Ute,2021,0.0
1134,Charter Oak-Ute,2022,0.0
1134,Charter Oak-Ute,2023,0.0
1134,Charter Oak-Ute,2024,0
1152,Cherokee,2017,0.0
1152,Cherokee,2018,0.0
1152,Cherokee,2019,0.0
1152,Cherokee,2020,0.0
1152,Cherokee,2021,9540.21
1152,Cherokee,2022,0.0
1152,Cherokee,2023,0.0
1152,Cherokee,2024,0
1197,Clarinda,2017,0.0
1197,Clarinda,2018,0.0
1197,Clarinda,2019,0.0
1197,Clarinda,2020,0.0
1197,Clarinda,2021,0.0
1197,Clarinda,2022,0.0
1197,Clarinda,2023,0.0
1197,Clarinda,2024,0
1206,Clarion-Goldfield-Dows,2017,4255.0
1206,Clarion-Goldfield-Dows,2018,8526.0
1206,Clarion-Goldfield-Dows,2019,7024.25
1206,Clarion-Goldfield-Dows,2020,6943.35
1206,Clarion-Goldfield-Dows,2021,10934.14
1206,Clarion-Goldfield-Dows,2022,3108.96
1206,Clarion-Goldfield-Dows,2023,11925.85
1206,Clarion-Goldfield-Dows,2024,21610.42
1211,Clarke,2017,0.0
1211,Clarke,2018,0.0
1211,Clarke,2019,0.0
1211,Clarke,2020,0.0
1211,Clarke,2021,20680.33
1211,Clarke,2022,17890.25
1211,Clarke,2023,0.0
1211,Clarke,2024,0
1215,Clarksville,2017,0.0
1215,Clarksville,2018,0.0
1215,Clarksville,2019,0.0
1215,Clarksville,2020,0.0
1215,Clarksville,2021,23598.19
1215,Clarksville,2022,11497.49
1215,Clarksville,2023,0.0
1215,Clarksville,2024,7587.25
1218,Clay Central-Everly,2017,3858.0
1218,Clay Central-Everly,2018,0.0
1218,Clay Central-Everly,2019,0.0
1218,Clay Central-Everly,2020,0.0
1218,Clay Central-Everly,2021,0.0
1218,Clay Central-Everly,2022,0.0
1218,Clay Central-Everly,2023,0.0
1218,Clay Central-Everly,2024,0
1221,Clear Creek-Amana,2017,0.0
1221,Clear Creek-Amana,2018,0.0
1221,Clear Creek-Amana,2019,0.0
1221,Clear Creek-Amana,2020,0.0
1221,Clear Creek-Amana,2021,0.0
1221,Clear Creek-Amana,2022,0.0
1221,Clear Creek-Amana,2023,0.0
1221,Clear Creek-Amana,2024,0
1233,Clear Lake,2017,0.0
1233,Clear Lake,2018,0.0
1233,Clear Lake,2019,0.0
1233,Clear Lake,2020,0.0
1233,Clear Lake,2021,0.0
1233,Clear Lake,2022,0.0
1233,Clear Lake,2023,0.0
1233,Clear Lake,2024,0
1278,Clinton,2017,10247.0
1278,Clinton,2018,40019.0
1278,Clinton,2019,12332.07
1278,Clinton,2020,7107.81
1278,Clinton,2021,74745.36
1278,Clinton,2022,17616.02
1278,Clinton,2023,54537.01
1278,Clinton,2024,26133.74
1332,Colfax-Mingo,2017,0.0
1332,Colfax-Mingo,2018,11960.0
1332,Colfax-Mingo,2019,0.0
1332,Colfax-Mingo,2020,10151.7
1332,Colfax-Mingo,2021,54310.08
1332,Colfax-Mingo,2022,51481.24
1332,Colfax-Mingo,2023,15268.48
1332,Colfax-Mingo,2024,0
1337,College Community,2017,0.0
1337,College Community,2018,0.0
1337,College Community,2019,0.0
1337,College Community,2020,12862.3
1337,College Community,2021,59563.5
1337,College Community,2022,15307.21
1337,College Community,2023,29424.95
1337,College Community,2024,40000
1350,Collins-Maxwell,2017,0.0
1350,Collins-Maxwell,2018,0.0
1350,Collins-Maxwell,2019,0.0
1350,Collins-Maxwell,2020,0.0
1350,Collins-Maxwell,2021,0.0
1350,Collins-Maxwell,2022,0.0
1350,Collins-Maxwell,2023,0.0
1350,Collins-Maxwell,2024,2410.92
1359,Colo-Nesco,2017,0.0
1359,Colo-Nesco,2018,0.0
1359,Colo-Nesco,2019,0.0
1359,Colo-Nesco,2020,0.0
1359,Colo-Nesco,2021,0.0
1359,Colo-Nesco,2022,0.0
1359,Colo-Nesco,2023,0.0
1359,Colo-Nesco,2024,0
1368,Columbus,2017,0.0
1368,Columbus,2018,0.0
1368,Columbus,2019,0.0
1368,Columbus,2020,0.0
1368,Columbus,2021,0.0
1368,Columbus,2022,0.0
1368,Columbus,2023,0.0
1368,Columbus,2024,0
1413,Coon Rapids-Bayard,2017,0.0
1413,Coon Rapids-Bayard,2018,0.0
1413,Coon Rapids-Bayard,2019,0.0
1413,Coon Rapids-Bayard,2020,0.0
1413,Coon Rapids-Bayard,2021,0.0
1413,Coon Rapids-Bayard,2022,0.0
1413,Coon Rapids-Bayard,2023,4514.55
1413,Coon Rapids-Bayard,2024,5979.58
1431,Corning,2017,0.0
1431,Corning,2018,0.0
1431,Corning,2019,0.0
1431,Corning,2020,0.0
1431,Corning,2021,0.0
1431,Corning,2022,0.0
1431,Corning,2023,0.0
1431,Corning,2024,0
1476,Council Bluffs,2017,36.0
1476,Council Bluffs,2018,0.0
1476,Council Bluffs,2019,0.0
1476,Council Bluffs,2020,0.0
1476,Council Bluffs,2021,44000.0
1476,Council Bluffs,2022,0.0
1476,Council Bluffs,2023,0.0
1476,Council Bluffs,2024,0
1503,Creston,2017,8594.0
1503,Creston,2018,9636.0
1503,Creston,2019,6649.0
1503,Creston,2020,13418.09
1503,Creston,2021,200102.57
1503,Creston,2022,8542.26
1503,Creston,2023,19266.03
1503,Creston,2024,40004.47
1576,Dallas Center-Grimes,2017,0.0
1576,Dallas Center-Grimes,2018,0.0
1576,Dallas Center-Grimes,2019,0.0
1576,Dallas Center-Grimes,2020,0.0
1576,Dallas Center-Grimes,2021,0.0
1576,Dallas Center-Grimes,2022,0.0
1576,Dallas Center-Grimes,2023,0.0
1576,Dallas Center-Grimes,2024,0
1602,Danville,2017,9075.0
1602,Danville,2018,0.0
1602,Danville,2019,0.0
1602,Danville,2020,0.0
1602,Danville,2021,0.0
1602,Danville,2022,0.0
1602,Danville,2023,0.0
1602,Danville,2024,0
1611,Davenport,2017,0.0
1611,Davenport,2018,8630.0
1611,Davenport,2019,0.0
1611,Davenport,2020,0.0
1611,Davenport,2021,0.0
1611,Davenport,2022,0.0
1611,Davenport,2023,0.0
1611,Davenport,2024,0
1619,Davis County,2017,0.0
1619,Davis County,2018,0.0
1619,Davis County,2019,7060.77
1619,Davis County,2020,10000.0
1619,Davis County,2021,0.0
1619,Davis County,2022,9550.0
1619,Davis County,2023,1216.84
1619,Davis County,2024,0
1638,Decorah,2017,0.0
1638,Decorah,2018,0.0
1638,Decorah,2019,0.0
1638,Decorah,2020,0.0
1638,Decorah,2021,0.0
1638,Decorah,2022,0.0
1638,Decorah,2023,0.0
1638,Decorah,2024,0
1675,Delwood,2017,0.0
1675,Delwood,2018,0.0
1675,Delwood,2019,0.0
1675,Delwood,2020,0.0
1675,Delwood,2021,0.0
1675,Delwood,2022,0.0
1675,Delwood,2023,0.0
1675,Delwood,2024,0
1701,Denison,2017,0.0
1701,Denison,2018,0.0
1701,Denison,2019,0.0
1701,Denison,2020,0.0
