district_code,district_name,fiscal_year,fund,beginning_balance,revenues,expenditures,ending_balance,gf_unassigned,gf_assigned
9,AGWSR,2022,Sales Tax,880194.75,9800016.97,2670924.81,8009286.91,,
9,AGWSR,2023,Activity,111635.04,164193.22,159188.66,116639.6,,
9,AGWSR,2023,Debt Service,1166913.0,1330142.66,1702340.0,794715.66,,
9,AGWSR,2023,Emergency_Disaster,0.0,0.0,0.0,0.0,,
9,AGWSR,2023,Enterprise,282164.57,738017.55,605353.32,414828.8,,
9,AGWSR,2023,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
9,AGWSR,2023,General,1752298.67,9329201.06,10027786.62,1053713.11,474752.48,15757
9,AGWSR,2023,Management,481643.96,256403.05,350901.55,387145.46,,
9,AGWSR,2023,Nutrition,193640.43,461881.48,504263.84,151258.07,,
9,AGWSR,2023,Other Capital Projects,0.0,0.0,0.0,0.0,,
9,AGWSR,2023,PERL,0.0,0.0,0.0,0.0,,
9,AGWSR,2023,PPEL,1173974.99,669563.86,847067.27,996471.58,,
9,AGWSR,2023,Sales Tax,8009286.91,1041417.57,6485946.69,2564757.79,,
9,AGWSR,2024,General,1053713.11,9692578.8,10259078.21,487213.7,-155501.85,0
18,Adair-Casey,2017,Activity,43668.0,19847.0,39041.0,24473.0,,
18,Adair-Casey,2017,Debt Service,6.0,117623.0,117566.0,63.0,,
18,Adair-Casey,2017,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2017,Enterprise,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2017,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2017,General,1346855.0,4204508.0,4131913.0,1419451.0,,
18,Adair-Casey,2017,Management,181813.0,179734.0,130125.0,231423.0,,
18,Adair-Casey,2017,Nutrition,16979.0,179088.0,178276.0,17791.0,,
18,Adair-Casey,2017,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2017,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2017,PPEL,835466.0,417557.0,443059.0,809964.0,,
18,Adair-Casey,2017,Sales Tax,645803.0,297978.0,268647.0,675133.0,,
18,Adair-Casey,2018,Activity,24473.0,21093.0,16675.0,28891.0,,
18,Adair-Casey,2018,Debt Service,63.0,117358.0,117344.0,77.0,,
18,Adair-Casey,2018,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2018,Enterprise,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2018,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2018,General,1419451.0,3989358.0,4243114.0,1165694.0,,
18,Adair-Casey,2018,Management,231423.0,125276.0,98335.0,258365.0,,
18,Adair-Casey,2018,Nutrition,17791.0,174504.0,184653.0,7643.0,,
18,Adair-Casey,2018,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2018,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2018,PPEL,809964.0,469425.0,423586.0,855804.0,,
18,Adair-Casey,2018,Sales Tax,675133.0,282848.0,120168.0,837813.0,,
18,Adair-Casey,2019,Activity,28891.1,16645.17,13310.41,32225.86,,
18,Adair-Casey,2019,Debt Service,77.21,117100.41,117078.0,99.62,,
18,Adair-Casey,2019,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2019,Enterprise,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2019,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2019,General,1165694.37,4171561.62,4424118.83,913137.16,,
18,Adair-Casey,2019,Management,258364.78,110280.15,123395.5,245249.43,,
18,Adair-Casey,2019,Nutrition,7642.96,171992.06,181957.8,-2322.78,,
18,Adair-Casey,2019,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2019,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2019,PPEL,855804.3,498398.63,145322.73,1208880.2,,
18,Adair-Casey,2019,Sales Tax,837812.86,312816.67,119851.2,1030778.33,,
18,Adair-Casey,2020,Activity,32225.86,24963.48,11950.41,45238.93,,
18,Adair-Casey,2020,Debt Service,99.62,121771.92,118198.0,3673.54,,
18,Adair-Casey,2020,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2020,Enterprise,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2020,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2020,General,913137.16,4484235.18,4262457.2,1134915.14,,
18,Adair-Casey,2020,Management,245249.43,164074.86,144897.5,264426.79,,
18,Adair-Casey,2020,Nutrition,-2322.78,166882.84,157079.1,7480.96,,
18,Adair-Casey,2020,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2020,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2020,PPEL,1208880.2,543602.53,166717.34,1585765.39,,
18,Adair-Casey,2020,Sales Tax,1030778.33,325329.53,236849.0,1119258.86,,
18,Adair-Casey,2021,Activity,45238.93,7242.81,17276.71,35205.03,,
18,Adair-Casey,2021,Debt Service,3673.54,117428.8,115952.54,5149.8,,
18,Adair-Casey,2021,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2021,Enterprise,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2021,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2021,General,1134915.14,4886991.26,4522993.25,1498913.15,,
18,Adair-Casey,2021,Management,264426.79,55714.68,96809.5,223331.97,,
18,Adair-Casey,2021,Nutrition,7480.96,202825.65,168635.99,41670.62,,
18,Adair-Casey,2021,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2021,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2021,PPEL,1585765.39,576406.6,242181.45,1919990.54,,
18,Adair-Casey,2021,Sales Tax,1119258.86,416980.39,388541.33,1147697.92,,
18,Adair-Casey,2022,Activity,35205.03,20536.93,26265.7,29476.26,,
18,Adair-Casey,2022,Debt Service,5149.8,111866.65,116994.0,22.45,,
18,Adair-Casey,2022,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2022,Enterprise,0.0,4537.5,18993.66,-14456.16,,
18,Adair-Casey,2022,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2022,General,1498913.15,4681131.0,4593649.24,1586394.91,,
18,Adair-Casey,2022,Management,223331.97,111477.25,129305.6,205503.62,,
18,Adair-Casey,2022,Nutrition,41670.62,231663.81,125207.05,148127.38,,
18,Adair-Casey,2022,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2022,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2022,PPEL,1919990.54,697258.22,642886.69,1974362.07,,
18,Adair-Casey,2022,Sales Tax,1147697.92,358162.84,250727.79,1255132.97,,
18,Adair-Casey,2023,Activity,29476.26,14810.7,25537.31,18749.65,,
18,Adair-Casey,2023,Debt Service,22.45,117537.08,117530.0,29.53,,
18,Adair-Casey,2023,Emergency_Disaster,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2023,Enterprise,-14456.16,16800.0,46190.79,-43846.95,,
18,Adair-Casey,2023,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2023,General,1586394.91,5191231.83,5389899.79,1387726.95,1295930.5,0
18,Adair-Casey,2023,Management,205503.62,153221.77,109181.57,249543.82,,
18,Adair-Casey,2023,Nutrition,148127.38,224180.15,225153.86,147153.67,,
18,Adair-Casey,2023,Other Capital Projects,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2023,PERL,0.0,0.0,0.0,0.0,,
18,Adair-Casey,2023,PPEL,1974362.07,711189.36,352053.76,2333497.67,,
18,Adair-Casey,2023,Sales Tax,1255132.97,359241.79,244680.25,1369694.51,,
18,Adair-Casey,2024,General,1387726.95,5109470.31,4907234.25,1589963.01,1437725.85,0
27,Adel-Desoto-Minburn,2017,Activity,255239.0,379471.0,378707.0,256004.0,,
27,Adel-Desoto-Minburn,2017,Debt Service,55043.0,1868818.0,1829065.0,94796.0,,
27,Adel-Desoto-Minburn,2017,Emergency_Disaster,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2017,Enterprise,146481.0,93456.0,51178.0,188759.0,,
27,Adel-Desoto-Minburn,2017,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2017,General,3726128.0,17466941.0,17993150.0,3199918.0,,
27,Adel-Desoto-Minburn,2017,Management,1763564.0,476591.0,215108.0,2025047.0,,
27,Adel-Desoto-Minburn,2017,Nutrition,202236.0,936260.0,878310.0,260188.0,,
27,Adel-Desoto-Minburn,2017,Other Capital Projects,1073132.0,33372.0,600288.0,506215.0,,
27,Adel-Desoto-Minburn,2017,PERL,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2017,PPEL,466236.0,588154.0,842721.0,211671.0,,
27,Adel-Desoto-Minburn,2017,Sales Tax,5346124.0,1543194.0,2513018.0,4376300.0,,
27,Adel-Desoto-Minburn,2018,Activity,256004.0,376671.0,359479.0,273196.0,,
27,Adel-Desoto-Minburn,2018,Debt Service,94796.0,2252766.0,2307101.0,40461.0,,
27,Adel-Desoto-Minburn,2018,Emergency_Disaster,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2018,Enterprise,188759.0,89588.0,53069.0,225277.0,,
27,Adel-Desoto-Minburn,2018,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2018,General,3199918.0,18654117.0,19356591.0,2497443.0,,
27,Adel-Desoto-Minburn,2018,Management,2025047.0,384897.0,265629.0,2144315.0,,
27,Adel-Desoto-Minburn,2018,Nutrition,260188.0,950443.0,887128.0,323503.0,,
27,Adel-Desoto-Minburn,2018,Other Capital Projects,506215.0,832.0,507047.0,0.0,,
27,Adel-Desoto-Minburn,2018,PERL,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2018,PPEL,211671.0,1514140.0,1261460.0,464351.0,,
27,Adel-Desoto-Minburn,2018,Sales Tax,4376300.0,1575329.0,1083552.0,4868076.0,,
27,Adel-Desoto-Minburn,2019,Activity,273196.11,430638.85,496379.74,207455.22,,
27,Adel-Desoto-Minburn,2019,Debt Service,40461.24,2398992.99,2360325.28,79128.95,,
27,Adel-Desoto-Minburn,2019,Emergency_Disaster,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2019,Enterprise,225276.51,62214.01,49781.18,237709.34,,
27,Adel-Desoto-Minburn,2019,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2019,General,2497443.39,20116819.11,19320991.94,3293270.56,,
27,Adel-Desoto-Minburn,2019,Management,2144314.77,45532.82,380736.0,1809111.59,,
27,Adel-Desoto-Minburn,2019,Nutrition,323502.77,941356.61,886560.05,378299.33,,
27,Adel-Desoto-Minburn,2019,Other Capital Projects,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2019,PERL,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2019,PPEL,464350.96,663255.96,556112.16,571494.76,,
27,Adel-Desoto-Minburn,2019,Sales Tax,4868075.63,1858689.56,985046.29,5741718.9,,
27,Adel-Desoto-Minburn,2020,Activity,207455.22,423401.25,394248.6,236607.87,,
27,Adel-Desoto-Minburn,2020,Debt Service,79128.95,2513021.5,2486593.51,105556.94,,
27,Adel-Desoto-Minburn,2020,Emergency_Disaster,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2020,Enterprise,237709.34,53068.67,50233.23,240544.78,,
27,Adel-Desoto-Minburn,2020,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2020,General,3293270.56,20847488.61,19759747.14,4381012.03,,
27,Adel-Desoto-Minburn,2020,Management,1809111.59,24396.83,236233.79,1597274.63,,
27,Adel-Desoto-Minburn,2020,Nutrition,378299.33,903178.43,862071.01,419406.75,,
27,Adel-Desoto-Minburn,2020,Other Capital Projects,0.0,16195875.88,2550141.86,13645734.02,,
27,Adel-Desoto-Minburn,2020,PERL,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2020,PPEL,571494.76,695035.09,572140.68,694389.17,,
27,Adel-Desoto-Minburn,2020,Sales Tax,5741718.9,1937282.7,2451066.24,5227935.36,,
27,Adel-Desoto-Minburn,2021,Activity,236607.87,300483.46,331504.2,205587.13,,
27,Adel-Desoto-Minburn,2021,Debt Service,105556.94,7913495.6,7874581.16,144471.38,,
27,Adel-Desoto-Minburn,2021,Emergency_Disaster,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2021,Enterprise,240544.78,49676.12,40281.9,249939.0,,
27,Adel-Desoto-Minburn,2021,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2021,General,4381012.03,23364487.74,22005001.38,5740498.39,,
27,Adel-Desoto-Minburn,2021,Management,1597274.63,274573.41,276997.85,1594850.19,,
27,Adel-Desoto-Minburn,2021,Nutrition,419406.75,923305.13,790254.92,552456.96,,
27,Adel-Desoto-Minburn,2021,Other Capital Projects,13645734.02,94842.99,13250080.76,490496.25,,
27,Adel-Desoto-Minburn,2021,PERL,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2021,PPEL,694389.17,755911.35,506178.52,944122.0,,
27,Adel-Desoto-Minburn,2021,Sales Tax,5227935.36,1961671.39,883598.31,6306008.44,,
27,Adel-Desoto-Minburn,2022,Activity,205587.13,473890.48,436128.84,243348.77,,
27,Adel-Desoto-Minburn,2022,Debt Service,144471.38,12231303.98,12200116.41,175658.95,,
27,Adel-Desoto-Minburn,2022,Emergency_Disaster,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2022,Enterprise,249939.0,64949.17,31753.71,283134.46,,
27,Adel-Desoto-Minburn,2022,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2022,General,5740498.39,24370419.5,24295219.46,5815698.43,,
27,Adel-Desoto-Minburn,2022,Management,1594850.19,1165521.55,422184.89,2338186.85,,
27,Adel-Desoto-Minburn,2022,Nutrition,552456.96,1311444.59,918638.93,945262.62,,
27,Adel-Desoto-Minburn,2022,Other Capital Projects,490496.25,93006.01,583502.26,0.0,,
27,Adel-Desoto-Minburn,2022,PERL,0.0,0.0,0.0,0.0,,
27,Adel-Desoto-Minburn,2022,PPEL,944122.0,790056.28,1510551.24,223627.04,,
27,Adel-Desoto-Minburn,2022,Sales Tax,6306008.44,2422553.18,3676833.55,5051728.07,,
27,Adel-Desoto-Minburn,2023,Activity,243348.77,505324.17,531456.31,217216.63,,
27,Adel-Desoto-Minburn,2023,Debt Service,175658.95,2865717.75,2846871.8,194504.9,,
