Line,Description,General Fund,Non-Fiduciary Scholarship Funds,Student Activity Fund,Management Levy Fund,Entreprenurial Education Fund,PERL Fund,AEA Sp Ed Inst Fund,AEA JH Inst Fund,Support Trust Fund,Disaster Recovery Fund,Library Levy Fund,SAVE Statewide Sales and Services Tax Fund,PPEL Fund,Other Capital Project Funds,Debt Service Fund,Permanent Funds,Enterprise Funds,Internal Service Funds,Trust Funds,Custodial Funds
1,Beginning Balance,19366903.52,,384374.40,1869430.26,,,,,,,,45808694.72,15296522.08,916094.72,2226592.90,,6522750.84,15511350.72,115014.46,
2,Adjustments to Beginning Balance,,,,,,,,,,,,,,,0.00,,,,,
3,Revenues and other Financing Sources,211774151.34,,3463385.20,12887872.06,,,,,,,,19148838.24,13211624.03,,26658035.55,,10178134.56,21662332.02,320389.20,
4,Total Sources Available,231141054.86,,3847759.60,14757302.32,,,,,,,,64957532.96,28508146.11,916094.72,28884628.45,,16700885.40,37173682.74,435403.66,
5,Expenditures and Other Financing Uses,212847380.05,,3847759.60,9138569.83,,,,,,,,55747336.72,20154774.41,916094.72,28669193.76,,9603836.51,23792050.73,319469.20,
6,Ending Balance,18293674.81,,,5618732.49,,,,,,,,9210196.24,8353371.70,,215434.69,,7097048.89,13381632.01,115934.46,
