jurisdiction,period,period_type,structure_bucket,units,source,flag
Iowa City,2010,annual,1-unit,153,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2010,annual,2-unit,2,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2010,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2010,annual,5+,57,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2011,annual,1-unit,126,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2011,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2011,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2011,annual,5+,99,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2012,annual,1-unit,223,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2012,annual,2-unit,4,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2012,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2012,annual,5+,172,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2013,annual,1-unit,219,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2013,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2013,annual,3-4,3,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2013,annual,5+,476,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2014,annual,1-unit,226,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2014,annual,2-unit,2,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2014,annual,3-4,4,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2014,annual,5+,213,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2015,annual,1-unit,151,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2015,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2015,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2015,annual,5+,537,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2016,annual,1-unit,263,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2016,annual,2-unit,2,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2016,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2016,annual,5+,815,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2017,annual,1-unit,213,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2017,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2017,annual,3-4,8,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2017,annual,5+,297,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2018,annual,1-unit,132,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2018,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2018,annual,3-4,3,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2018,annual,5+,186,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2019,annual,1-unit,98,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2019,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2019,annual,3-4,8,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2019,annual,5+,463,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2020,annual,1-unit,116,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2020,annual,2-unit,8,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2020,annual,3-4,11,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2020,annual,5+,24,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2021,annual,1-unit,137,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2021,annual,2-unit,6,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2021,annual,3-4,14,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2021,annual,5+,137,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2022,annual,1-unit,104,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2022,annual,2-unit,2,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2022,annual,3-4,4,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2022,annual,5+,356,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2023,annual,1-unit,79,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2023,annual,2-unit,4,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2023,annual,3-4,4,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2023,annual,5+,419,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2024,annual,1-unit,133,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2024,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2024,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2024,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2025,annual,1-unit,89,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2025,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2025,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Iowa City,2025,annual,5+,72,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2010,annual,1-unit,136,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2010,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2010,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2010,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2011,annual,1-unit,157,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2011,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2011,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2011,annual,5+,20,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2012,annual,1-unit,136,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2012,annual,2-unit,16,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2012,annual,3-4,4,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2012,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2013,annual,1-unit,71,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2013,annual,2-unit,8,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2013,annual,3-4,11,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2013,annual,5+,28,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2014,annual,1-unit,162,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2014,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2014,annual,3-4,7,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2014,annual,5+,86,"Census BPS Place file (mwYYYYa.txt), represented units",11 of 12 mo reported; BPS imputed 1 mo
North Liberty,2015,annual,1-unit,126,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2015,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2015,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2015,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2016,annual,1-unit,120,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2016,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2016,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2016,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2017,annual,1-unit,178,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2017,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2017,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2017,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2018,annual,1-unit,73,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2018,annual,2-unit,20,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2018,annual,3-4,4,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2018,annual,5+,27,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2019,annual,1-unit,72,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2019,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2019,annual,3-4,16,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2019,annual,5+,5,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2020,annual,1-unit,113,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2020,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2020,annual,3-4,4,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2020,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2021,annual,1-unit,186,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2021,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2021,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2021,annual,5+,92,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2022,annual,1-unit,126,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2022,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2022,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2022,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2023,annual,1-unit,136,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2023,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2023,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2023,annual,5+,172,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2024,annual,1-unit,134,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2024,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2024,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2024,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2025,annual,1-unit,169,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2025,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2025,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
North Liberty,2025,annual,5+,351,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2010,annual,1-unit,13,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2010,annual,2-unit,12,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2010,annual,3-4,4,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2010,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2011,annual,1-unit,23,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2011,annual,2-unit,2,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2011,annual,3-4,4,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2011,annual,5+,48,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2012,annual,1-unit,19,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2012,annual,2-unit,10,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2012,annual,3-4,8,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2012,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2013,annual,1-unit,34,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2013,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2013,annual,3-4,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2013,annual,5+,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2014,annual,1-unit,19,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2014,annual,2-unit,0,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2014,annual,3-4,12,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2014,annual,5+,60,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2015,annual,1-unit,35,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2015,annual,2-unit,70,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2015,annual,3-4,42,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2015,annual,5+,36,"Census BPS Place file (mwYYYYa.txt), represented units",
Tiffin,2016,annual,1-unit,36,"Census BPS Place file (mwYYYYa.txt), represented units",0 mo reported; FULLY IMPUTED by BPS
Tiffin,2016,annual,2-unit,62,"Census BPS Place file (mwYYYYa.txt), represented units",0 mo reported; FULLY IMPUTED by BPS
Tiffin,2016,annual,3-4,37,"Census BPS Place file (mwYYYYa.txt), represented units",0 mo reported; FULLY IMPUTED by BPS
