jurisdiction,period,period_type,structure_bucket,units,source,flag
Johnson Co. (uninc.),2015,annual,manufactured,4,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2016,annual,1-unit,66,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2016,annual,2-unit,4,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),2 duplex permit(s) x2 units
Johnson Co. (uninc.),2016,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2016,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2016,annual,manufactured,18,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2017,annual,1-unit,38,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2017,annual,2-unit,10,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),5 duplex permit(s) x2 units
Johnson Co. (uninc.),2017,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2017,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2017,annual,manufactured,8,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2018,annual,1-unit,49,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2018,annual,2-unit,8,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),4 duplex permit(s) x2 units
Johnson Co. (uninc.),2018,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2018,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2018,annual,manufactured,13,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2019,annual,1-unit,52,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2019,annual,2-unit,2,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),1 duplex permit(s) x2 units
Johnson Co. (uninc.),2019,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2019,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2019,annual,manufactured,15,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2020,annual,1-unit,44,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2020,annual,2-unit,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),0 duplex permit(s) x2 units
Johnson Co. (uninc.),2020,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2020,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2020,annual,manufactured,27,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2021,annual,1-unit,40,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2021,annual,2-unit,2,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),1 duplex permit(s) x2 units
Johnson Co. (uninc.),2021,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2021,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2021,annual,manufactured,6,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2022,annual,1-unit,48,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2022,annual,2-unit,6,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),3 duplex permit(s) x2 units
Johnson Co. (uninc.),2022,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2022,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2022,annual,manufactured,11,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2023,annual,1-unit,50,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2023,annual,2-unit,4,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),2 duplex permit(s) x2 units
Johnson Co. (uninc.),2023,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2023,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2023,annual,manufactured,28,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2024,annual,1-unit,41,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2024,annual,2-unit,4,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),2 duplex permit(s) x2 units
Johnson Co. (uninc.),2024,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2024,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2024,annual,manufactured,14,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2025,annual,1-unit,58,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2025,annual,2-unit,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),0 duplex permit(s) x2 units
Johnson Co. (uninc.),2025,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2025,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2025,annual,manufactured,2,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
