permit_id,jurisdiction,source_system,issue_date,address_raw,lat,lon,structure_type,net_units,iccsd_flag,school_district,elem_area,jh_area,hs_area,status
RES25-000244,Johnson Co. (uninc.),CitizenServe,2025-11-14,3796 Cottage Reserve RD NE,41.794281,-91.560628,SF detached,1,N,Solon Community School District,,,,issued
RES25-000254,Johnson Co. (uninc.),CitizenServe,2025-11-17,4680 Rapid Creek RD NE,41.700628,-91.475130,SF detached,1,Y,Iowa City Community School District,,,,issued
RES25-000295,Johnson Co. (uninc.),CitizenServe,2025-11-24,4236 Pleasant Valley DR SE,41.614662,-91.518096,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-24-32355,Johnson Co. (uninc.),CitizenServe,2024-01-19,4494 Taft AVE SE LOT B39,41.606290,-91.459309,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-24-32362,Johnson Co. (uninc.),CitizenServe,2024-01-30,4494 Taft AVE SE LOT B34,41.606547,-91.459777,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-24-32361,Johnson Co. (uninc.),CitizenServe,2024-01-30,4494 Taft AVE SE LOT C3,41.605851,-91.462702,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-24-32360,Johnson Co. (uninc.),CitizenServe,2024-01-30,4494 Taft AVE SE LOT B14,41.606603,-91.461336,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-23-32319,Johnson Co. (uninc.),CitizenServe,2024-02-02,2300 540th St SW,41.541794,-91.705521,SF detached,1,N,Mid-Prairie Community School District,,,,issued
BLD-24-32367,Johnson Co. (uninc.),CitizenServe,2024-02-13,3136 Half Moon Ave NW,41.707066,-91.689924,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-24-32386,Johnson Co. (uninc.),CitizenServe,2024-02-14,1813 Lower Old Highway 6 RD NW Lot 242,41.723139,-91.750725,manufactured,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-24-32385,Johnson Co. (uninc.),CitizenServe,2024-02-14,4494 Taft AVE SE LOT E3,41.605664,-91.462737,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-24-32389,Johnson Co. (uninc.),CitizenServe,2024-03-06,2961 120th St NE,41.847279,-91.640356,SF detached,1,N,College Community School District,,,,issued
BLD-24-32410,Johnson Co. (uninc.),CitizenServe,2024-03-06,2783 MILLERS POND CT NW,41.732939,-91.771037,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-24-32437,Johnson Co. (uninc.),CitizenServe,2024-03-18,3020 Forest Ridge Dr NE,41.838534,-91.632527,SF detached,1,N,College Community School District,,,,issued
BLD-24-32464,Johnson Co. (uninc.),CitizenServe,2024-04-11,2210 Hemann Way NE,41.772125,-91.473283,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-32490,Johnson Co. (uninc.),CitizenServe,2024-04-26,5021 Bluestem St SW,41.568647,-91.731233,duplex,2,N,Mid-Prairie Community School District,,,,issued
BLD-24-32561,Johnson Co. (uninc.),CitizenServe,2024-05-10,2209 HENDERSHOT RD NE,41.780643,-91.622256,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-24-32551,Johnson Co. (uninc.),CitizenServe,2024-05-20,4212 Pleasant Valley Dr SE,41.614118,-91.520789,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-24-32606,Johnson Co. (uninc.),CitizenServe,2024-06-11,3707 475th ST SW,41.585881,-91.569902,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-24-32592,Johnson Co. (uninc.),CitizenServe,2024-06-21,4128 200th ST NE,41.788836,-91.527872,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-32614,Johnson Co. (uninc.),CitizenServe,2024-06-25,5169 210th St NE,41.777407,-91.427225,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-32656,Johnson Co. (uninc.),CitizenServe,2024-07-01,4494 Taft AVE SE LOT C38,41.606123,-91.459771,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-24-32675,Johnson Co. (uninc.),CitizenServe,2024-07-08,2108 Johnson Washington Rd SW,41.513724,-91.722949,SF detached,1,N,Mid-Prairie Community School District,,,,issued
BLD-24-32722,Johnson Co. (uninc.),CitizenServe,2024-07-29,4644 Harpers Trl NE,41.770330,-91.473375,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-32648,Johnson Co. (uninc.),CitizenServe,2024-08-01,4173 Landon Ave SW,41.629682,-91.609629,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-24-32751,Johnson Co. (uninc.),CitizenServe,2024-08-05,2373 Mehaffey Bridge Rd NE,41.760183,-91.589344,SF detached,1,Y,Iowa City Community School District,,,,issued
BLD-24-32728,Johnson Co. (uninc.),CitizenServe,2024-08-08,3210 Ever Tree Ln NE,41.810393,-91.609799,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-32764,Johnson Co. (uninc.),CitizenServe,2024-08-12,2219 Andrew Ct NE,41.772214,-91.539385,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-32795,Johnson Co. (uninc.),CitizenServe,2024-08-20,3018 Forest Ridge DR NE,41.838843,-91.632948,SF detached,1,N,College Community School District,,,,issued
BLD-24-32709,Johnson Co. (uninc.),CitizenServe,2024-08-22,3149 Lincolns LN NW,41.705603,-91.698354,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-24-32804,Johnson Co. (uninc.),CitizenServe,2024-08-26,1635 Polk Ave NE,41.814472,-91.531049,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-32843,Johnson Co. (uninc.),CitizenServe,2024-08-29,1813 Lower Old Highway 6 RD NW Lot 64,41.723120,-91.752891,manufactured,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-24-32842,Johnson Co. (uninc.),CitizenServe,2024-08-29,4494 Taft AVE SE LOT B21,41.606293,-91.460818,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-24-32844,Johnson Co. (uninc.),CitizenServe,2024-09-06,217 North St,41.726293,-91.788206,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-24-32879,Johnson Co. (uninc.),CitizenServe,2024-09-23,527 ELKHORN TRL,41.607654,-91.545556,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-24-32900,Johnson Co. (uninc.),CitizenServe,2024-09-26,4494 Taft AVE SE LOT C29,41.606603,-91.461336,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-24-32899,Johnson Co. (uninc.),CitizenServe,2024-09-26,4494 Taft AVE SE LOT E1,41.605659,-91.462964,manufactured,1,Y,Iowa City Community School District,,,,issued
BLD-24-32846,Johnson Co. (uninc.),CitizenServe,2024-09-30,6524 Sioux Ave SE,41.458633,-91.481127,SF detached,1,N,Lone Tree Community School District,,,,issued
BLD-24-32663,Johnson Co. (uninc.),CitizenServe,2024-10-01,1774 Curtis Bridge RD NE,41.806931,-91.644210,SF detached,1,N,Clear Creek-Amana Community School District,,,,issued
BLD-24-32912,Johnson Co. (uninc.),CitizenServe,2024-10-09,2633 Newport RD NE,41.741631,-91.482511,SF detached,1,N,Solon Community School District,,,,issued
BLD-24-32898,Johnson Co. (uninc.),CitizenServe,2024-10-15,6363 River Junction RD SE,41.470038,-91.489557,SF detached,1,N,Lone Tree Community School District,,,,issued
BLD-24-32954,Johnson Co. (uninc.),CitizenServe,2024-10-17,1334-1336 FOREST RIDGE CT NE,41.838431,-91.638149,duplex,2,N,College Community School District,,,,issued
