district,fiscal_year,status,gf_cash_investments,gf_expenditures,gf_cash_days,uab_cushion,timing_note,source
Iowa City CSD,2025,unaudited-internal,19300000,212847380,33.09648443875607,0.02363944061702803,"start-of-FY26 cash (≈ intra-year low point), not a June-30 year-end figure","COO Curt Pratt, board work session Apr 1 2026 (youtu.be 43:21): ~$19.3M GF cash at start of FY26; FY25 est. spend $212,847,380 (Exhibit 2k) -> 33 days"
Iowa City CSD,2026,projected,21400000,225100000,34.7001332741004,,FY26 projection (PFM Option 1),"PFM Financial Advisors update Apr 28 2026 (Exhibit 2l, Option 1): project ~$21.4M GF cash / ~35 days; FY26 projected spend ~$225.1M"
