district_code,district_name,fiscal_year,gf_revenues,gf_expenditures,gf_total_fund_balance,gf_unassigned_car,gf_assigned_car,management_fund_balance,ppel_fund_balance,save_fund_balance,other_capital_projects_balance,debt_service_fund_balance,total_governmental_fund_balance,cash_reserve_levy_budget_fy,sbrc_expenditures,sbrc_20pct_cap,gf_assigned_plus_unassigned_sbrc,max_cash_reserve_levy_capacity,cash_reserve_levy_amount,levying_maximum_cash_reserve,certified_enrollment,unspent_authorized_budget,uab_per_pupil,gf_assigned_plus_unassigned,assigned_unassigned_source,gf_unassigned,gf_assigned,is_focus15,is_named_focus,district_name_display,conservative_reserve_ratio,practical_cushion_ratio,broad_cushion_ratio,operating_adjacent_ratio,conservative_days_cushion,practical_days_cushion,operating_adjacent_days_cushion,crl_reliance,crl_capacity_used_pct,crl_levy_headroom,uab_cushion,operating_result_pct,operating_result_3yr_avg,fb_drawdown_years,enrollment_3yr_trend,practical_days_cushion_pctile,uab_cushion_pctile,crl_reliance_pctile,flag_low_unrestricted,flag_negative_operating,flag_multiyear_drawdown,flag_weak_uab,flag_declining_enrollment,flag_high_crl_reliance,flag_limited_levy_headroom,flag_special_ed_pressure,flag_short_term_borrowing,flag_audit_concern,risk_flag_count,cushion_band,risk_class,risk_rationale
441,AHSTW,2019,9049156.65,9209654.96,1337082.81,,,205900.92,412371.62,245284.15,0.0,527979.74,2725368.3000000003,,,,,,,,791.7,3659249.0,4622.014652014652,,missing,,,False,False,AHSTW,,,0.1451827257163606,,,,,,,,0.39732748033374743,-0.017736272694538945,-0.00021066756376402393,2,,,0.8042813455657493,,,True,True,False,False,False,False,False,False,False,2,,Unscored (insufficient component data),2 risk flag(s)
441,AHSTW,2020,9795736.33,9199345.41,1933473.73,,,256699.16,1056287.92,431494.7,0.0,408994.82,4082880.64,2022.0,9199345.0,1839869.0,1820276.0,19593.0,19593.0,Max,784.6,4442172.0,5661.702778485853,1820276.0,SBRC (combined),,,False,False,AHSTW,,0.19787016563388285,0.2101751422332994,0.22577423364734817,,72.22261045636724,82.40759528128208,0.002129825452439447,1.0,0.0,0.48287913998437415,0.060882704465362016,-0.0007091727659251761,0,-0.0005095541401273595,0.5290519877675841,0.8470948012232415,0.4801223241590214,,False,False,False,False,False,True,False,False,False,1,Low,Low risk,72-day practical cushion; 1 risk flag(s)
441,AHSTW,2021,10463555.36,9536412.71,2860616.38,,,473838.27,1572342.96,599461.85,0.0,414202.38,5912793.52,2023.0,9536413.0,1907283.0,2743174.0,0.0,0.0,,780.7,5306624.0,6797.263993851671,2743174.0,SBRC (combined),,,False,False,AHSTW,,0.2876526093636314,0.29996776219639926,0.33733987483853345,,104.99320241772547,123.12905431606471,0.0,,0.0,0.5564591383964966,0.08860684710899246,0.04391775962660518,0,0.0029547790339158123,0.7247706422018348,0.8746177370030581,0.2889908256880734,,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,105-day practical cushion; 0 risk flag(s)
441,AHSTW,2022,10144438.0,10025049.14,2980005.24,,,865981.4,1756661.01,986445.78,12954720.61,419274.88,19993197.88,2024.0,10025049.0,2005010.0,2869593.0,0.0,0.0,,755.0,5579814.0,7390.482119205298,2869593.0,SBRC (combined),,,False,False,AHSTW,,0.2862422876861828,0.2972559234757028,0.3726240488034156,,104.47843500545673,136.0077778132467,0.0,,0.0,0.5565871969381688,0.011768898385499464,0.05375281665328465,0,-0.0463559429076671,0.7446153846153846,0.8685015290519877,0.2815384615384615,,False,False,False,True,False,False,False,False,False,1,Very low,Low risk,104-day practical cushion; 1 risk flag(s)
441,AHSTW,2023,9984888.19,10609881.33,2355012.1,2242526.88,0.0,974487.88,2300715.38,1501063.06,10091675.89,423206.94,17706237.93,2025.0,10609881.0,2121976.0,2242527.0,0.0,0.0,,765.3,5772102.0,7542.273618188946,2242526.88,CAR (split),2242526.88,0.0,False,False,AHSTW,0.2113621076664766,0.2113621076664766,0.22196403774480294,0.30320930648901046,77.14716929826396,77.14716929826396,110.67139686848881,0.0,,0.0,0.5440307785233258,-0.06259390471952803,0.012593946924987965,1,-0.024598521539638117,0.5189504373177842,0.8282208588957055,0.2723076923076923,False,True,False,False,False,False,False,False,False,False,1,Very low,Low risk,77-day practical cushion; 1 risk flag(s)
441,AHSTW,2024,10602169.06,10779049.83,2178131.33,2037900.93,0.0,,,,,,2280044.59,2026.0,10779050.0,2155810.0,2037901.0,117909.0,117909.0,Max,792.6,6093017.0,7687.379510471865,2037900.93,CAR (split),2037900.93,0.0,False,False,AHSTW,0.18906127739832518,0.18906127739832518,0.2020708099834436,,69.00736625038869,69.00736625038869,,0.010938719261862805,1.0,0.0,0.5652647585914351,-0.016683451188053356,-0.022502819174027303,2,0.015242730882541279,0.4791666666666667,0.8432601880877743,0.5611285266457681,False,True,True,False,False,False,True,False,False,False,3,Low,Low risk,69-day practical cushion; 3 risk flag(s)
18,Adair-Casey,2017,4204508.0,4131913.0,1419451.0,,,231423.0,809964.0,675133.0,0.0,63.0,3160507.0,,,,,,,,308.9,1078573.0,3491.6574943347364,,missing,,,False,False,Adair-Casey,,,0.3435336126389883,,,,,,,,0.2610347797739207,0.017265991645158008,,0,,,0.5795795795795796,,,False,False,False,False,False,False,False,False,False,0,,Unscored (insufficient component data),0 risk flag(s)
18,Adair-Casey,2018,3989358.0,4243114.0,1165694.0,,,258365.0,855804.0,837813.0,0.0,77.0,3146644.0,,,,,,,,300.2,1016839.0,3387.205196535643,,missing,,,False,False,Adair-Casey,,,0.27472606203839917,,,,,,,,0.2396445157966531,-0.06360822969510382,-0.02317111902497291,1,,,0.5225225225225225,,,True,False,False,False,False,False,False,False,False,1,,Unscored (insufficient component data),1 risk flag(s)
18,Adair-Casey,2019,4171561.62,4424118.83,913137.16,,,245249.43,1208880.2,1030778.33,0.0,99.62,3430370.6,,,,,,,,300.3,1015085.0,3380.23643023643,,missing,,,False,False,Adair-Casey,,,0.20639978153570526,,,,,,,,0.22944343020732108,-0.060542605624988935,-0.03562828122497825,2,,,0.40061162079510704,,,True,True,False,False,False,False,False,False,False,2,,Unscored (insufficient component data),2 risk flag(s)
18,Adair-Casey,2020,4484235.18,4262457.2,1134915.14,,,264426.79,1585765.39,1119258.86,0.0,3673.54,4153278.65,2022.0,4262457.0,852491.0,1007031.0,0.0,0.0,,309.0,1307329.0,4230.838187702266,1007031.0,SBRC (combined),,,False,False,Adair-Casey,,0.2362559792975751,0.26625842483532736,0.29829221276403667,,86.23343244361492,108.87665765887338,0.0,,0.0,0.3067078304035522,0.049457258840737144,-0.024897858826451874,0,0.00032372936225323,0.6636085626911316,0.5474006116207951,0.23700305810397554,,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,86-day practical cushion; 0 risk flag(s)
18,Adair-Casey,2021,4886991.26,4522993.25,1498913.15,,,223331.97,1919990.54,1147697.92,0.0,5149.8,4830288.41,2023.0,4522993.0,904599.0,1371626.0,0.0,0.0,,297.4,1716029.0,5770.104236718225,1371626.0,SBRC (combined),,,False,False,Adair-Casey,,0.3032562562413729,0.33139849368556984,0.3526332854907533,,110.68853352810112,128.71114920412495,0.0,,0.0,0.37940118526597405,0.07448304910616922,0.021132567440639145,0,-0.009327115256495707,0.7737003058103975,0.6697247706422018,0.2889908256880734,,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,111-day practical cushion; 0 risk flag(s)
18,Adair-Casey,2022,4681131.0,4593649.24,1586394.91,,,205503.62,1974362.07,1255132.97,0.0,22.45,5050892.28,2024.0,4593649.0,918730.0,1435067.0,0.0,0.0,,295.2,2031596.0,6882.100271002711,1435067.0,SBRC (combined),,,False,False,Adair-Casey,,0.31240238969573564,0.3453452423372229,0.3571388528567758,,114.02687223894351,130.35568129272318,0.0,,0.0,0.44226189111469905,0.018688167453549107,0.04754282513348516,0,-0.016983016983017057,0.7661538461538462,0.746177370030581,0.2815384615384615,,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,114-day practical cushion; 0 risk flag(s)
18,Adair-Casey,2023,5191231.83,5389899.79,1387726.95,1295930.5,0.0,249543.82,2333497.67,1369694.51,0.0,29.53,5359242.13,2025.0,5389900.0,1077980.0,1295931.0,0.0,0.0,,309.9,1979155.0,6386.431106808648,1295930.5,CAR (split),1295930.5,0.0,False,False,Adair-Casey,0.240436844930655,0.240436844930655,0.25746804283350133,0.28673526043422043,87.75944839968908,87.75944839968908,104.65837005849046,0.0,,0.0,0.36719699384244026,-0.03826990712529977,0.01830043647813952,1,0.0029126213592232273,0.60932944606414,0.598159509202454,0.2723076923076923,False,True,False,False,False,False,False,False,False,False,1,Very low,Low risk,88-day practical cushion; 1 risk flag(s)
18,Adair-Casey,2024,5109470.31,4907234.25,1589963.01,1437725.85,0.0,,,,,,1611717.31,2026.0,4907234.0,981447.0,1437726.0,0.0,0.0,,306.3,2284342.0,7457.858308847535,1437725.85,CAR (split),1437725.85,0.0,False,False,Adair-Casey,0.2929808883690441,0.2929808883690441,0.32400389486195813,,106.9380242547011,106.9380242547011,,0.0,,0.0,0.4655049837900035,0.03958063120636855,0.006666297178205968,0,0.029926025554808455,0.7529761904761905,0.7210031347962382,0.2554858934169279,False,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,107-day practical cushion; 0 risk flag(s)
27,Adel-Desoto-Minburn,2017,17466941.0,17993150.0,3199918.0,,,2025047.0,211671.0,4376300.0,506215.0,94796.0,10669951.0,,,,,,,,1569.1,9568891.0,6098.330890319292,,missing,,,False,False,Adel-Desoto-Minburn,,,0.1778409005649372,,,,,,,,0.5318074378305078,-0.03012599630353134,,0,,,0.9459459459459459,,,True,False,False,False,False,False,False,False,False,1,,Unscored (insufficient component data),1 risk flag(s)
27,Adel-Desoto-Minburn,2018,18654117.0,19356591.0,2497443.0,,,2144315.0,464351.0,4868076.0,0.0,40461.0,10287842.0,,,,,,,,1655.1,10216165.0,6172.536402634282,,missing,,,False,False,Adel-Desoto-Minburn,,,0.1290228739141102,,,,,,,,0.5277874084336441,-0.03765785322350021,-0.033891924763515775,1,,,0.933933933933934,,,True,False,False,False,False,False,False,False,False,1,,Unscored (insufficient component data),1 risk flag(s)
27,Adel-Desoto-Minburn,2019,20116819.11,19320991.94,3293270.56,,,1809111.59,571494.76,5741718.9,0.0,79128.95,11702179.98,,,,,,,,1729.8,11319580.0,6543.8663429298185,,missing,,,False,False,Adel-Desoto-Minburn,,,0.1704503873417588,,,,,,,,0.5858695058282809,0.03956028861463467,-0.009407853637465628,0,,,0.9388379204892966,,,False,False,False,False,False,False,False,False,False,0,,Unscored (insufficient component data),0 risk flag(s)
27,Adel-Desoto-Minburn,2020,20847488.61,19759747.14,4381012.03,,,1597274.63,694389.17,5227935.36,13645734.02,105556.94,25888510.02,2022.0,19759747.0,3951949.0,3977603.0,0.0,0.0,,1797.8,13373144.0,7438.616086327734,3977603.0,SBRC (combined),,,False,False,Adel-Desoto-Minburn,,0.20129827430575106,0.2217139722973196,0.2821330450486726,,73.47387012159913,102.9785614427655,0.0,,0.0,0.6767872030572958,0.05217613931100734,0.0180261915673806,0,0.14575234210694032,0.5443425076452599,0.9388379204892966,0.23700305810397554,,False,False,False,False,False,False,False,False,False,0,Low,Low risk,73-day practical cushion; 0 risk flag(s)
27,Adel-Desoto-Minburn,2021,23364487.74,22005001.38,5740498.39,,,1594850.19,944122.0,6306008.44,490496.25,144471.38,15426033.78,2023.0,22005001.0,4401000.0,5246763.0,0.0,0.0,,1932.2,15881961.0,8219.62581513301,5246763.0,SBRC (combined),,,False,False,Adel-Desoto-Minburn,,0.23843502253849894,0.2608724394454003,0.3109117364663396,,87.02878322655211,113.48278381021396,0.0,,0.0,0.7217432403542072,0.05818601182822249,0.04997414658462151,0,0.16742190804181026,0.5779816513761468,0.9327217125382263,0.2889908256880734,,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,87-day practical cushion; 0 risk flag(s)
27,Adel-Desoto-Minburn,2022,24370419.5,24295219.46,5815698.43,,,2338186.85,223627.04,5051728.07,0.0,175658.95,13848248.11,2024.0,24295219.0,4859044.0,5188022.0,0.0,0.0,,2004.3,17460966.0,8711.752731627003,5188022.0,SBRC (combined),,,False,False,Adel-Desoto-Minburn,,0.21354085763833638,0.23937624599666815,0.30978147212834434,,77.94241303799278,113.07023732684569,0.0,,0.0,0.7186996614189053,0.0030857097063921738,0.037815953615207336,0,0.1586888657648283,0.49846153846153846,0.9357798165137615,0.2815384615384615,,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,78-day practical cushion; 0 risk flag(s)
27,Adel-Desoto-Minburn,2023,25689974.15,26423933.75,5081738.83,4356960.43,156197.66,2767649.1,342989.58,7015745.83,0.0,194504.9,15619844.87,2025.0,26423934.0,5284787.0,4513158.0,771629.0,771629.0,Max,2054.8,18121411.0,8819.063169164881,4513158.09,CAR (split),4356960.43,156197.66,False,False,Adel-Desoto-Minburn,0.16488689652425426,0.17079811555310154,0.19231575730089773,0.2755383531795299,60.1837172313528,62.34131217688206,100.57149891052842,0.029201897314021234,1.0,0.0,0.6857953539941796,-0.028569884722908587,0.010900612270568691,1,0.14295249749694083,0.37317784256559766,0.9171779141104295,0.6953846153846154,False,True,False,False,False,False,True,False,False,False,2,Low,Low risk,62-day practical cushion; 2 risk flag(s)
27,Adel-Desoto-Minburn,2024,27305936.77,27144003.02,5243672.58,4017826.66,111588.55,,,,,,5487946.35,2026.0,27144003.0,5428801.0,4129415.0,1299386.0,1299386.0,Max,2130.9,19034045.0,8932.397109202684,4129415.21,CAR (split),4017826.66,111588.55,False,False,Adel-Desoto-Minburn,0.1480189438912021,0.15212992744501985,0.1931797817785536,,54.02691452028876,55.52742351743225,,0.04787009488035343,1.0,0.0,0.7012246862032658,0.005930349555995108,-0.0065179418201737685,0,0.10283614532657077,0.3333333333333333,0.9184952978056427,0.7774294670846394,False,False,False,False,False,True,True,False,False,False,2,Low,Low risk,56-day practical cushion; 2 risk flag(s)
63,Akron-Westfield,2017,6394438.0,6670460.0,1547787.0,,,295152.0,157687.0,224658.0,0.0,27801.0,2435981.0,,,,,,,,516.0,1964864.0,3807.875968992248,,missing,,,False,False,Akron-Westfield,,,0.23203602150376434,,,,,,,,0.29456199422528584,-0.04316595140964695,,0,,,0.6816816816816816,,,True,False,False,False,False,False,False,False,False,1,,Unscored (insufficient component data),1 risk flag(s)
63,Akron-Westfield,2018,6827825.0,7032014.0,1343597.0,,,294321.0,206219.0,399439.0,0.0,14535.0,2429494.0,,,,,,,,520.4,2018923.0,3879.5599538816296,,missing,,,False,False,Akron-Westfield,,,0.19106859002271612,,,,,,,,0.2871045194164858,-0.029905423762325484,-0.036535687585986215,1,,,0.6186186186186187,,,True,False,False,False,False,False,False,False,False,1,,Unscored (insufficient component data),1 risk flag(s)
63,Akron-Westfield,2019,7202176.33,7021318.34,1524454.91,,,300947.75,130669.46,815565.41,0.0,0.0,2958190.3,,,,,,,,544.7,2417732.0,4438.648797503212,,missing,,,False,False,Akron-Westfield,,,0.2171180448143589,,,,,,,,0.3443416012383794,0.025111574850875697,-0.015986600107032244,0,,,0.7064220183486238,,,False,False,False,False,False,False,False,False,False,0,,Unscored (insufficient component data),0 risk flag(s)
63,Akron-Westfield,2020,7464151.95,7050574.97,1938031.89,,,215109.37,140673.39,816540.2,0.0,0.0,3334453.89,2022.0,7050575.0,1410115.0,1704969.0,0.0,0.0,,563.3,3068789.0,5447.876797443636,1704969.0,SBRC (combined),,,False,False,Akron-Westfield,,0.2418198526013262,0.2748757226532973,0.2723293317452662,,88.26424619948406,99.40020608702216,0.0,,0.0,0.43525372229323306,0.05540843524762387,0.016871528778724696,0,0.09166666666666658,0.672782874617737,0.7951070336391437,0.23700305810397554,,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,88-day practical cushion; 0 risk flag(s)
63,Akron-Westfield,2021,8066668.15,7855862.59,2148837.45,,,300754.37,193240.54,622642.9,0.0,0.0,3491511.3800000004,2023.0,7855863.0,1571173.0,1922334.0,0.0,0.0,,577.4,3621405.0,6271.917215102182,1922334.0,SBRC (combined),,,False,False,Akron-Westfield,,0.24470056317520186,0.27353297303536467,0.2829846302085078,,89.31570555894868,103.28939002610534,0.0,,0.0,0.4609812046114213,0.026132915855724213,0.0355509753180746,0,0.10953112990007687,0.6024464831804281,0.8012232415902141,0.2889908256880734,,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,89-day practical cushion; 0 risk flag(s)
63,Akron-Westfield,2022,7953155.2,8004280.85,2097711.8,,,218372.63,401369.32,653982.65,8194597.11,0.0,11758985.74,2024.0,8004281.0,1600856.0,1785712.0,0.0,0.0,,539.5,4221569.0,7824.965708989805,1785712.0,SBRC (combined),,,False,False,Akron-Westfield,,0.2230946206741359,0.2620737377049932,0.2503766006661298,,81.42953654605961,91.38745924313739,0.0,,0.0,0.5274139025244223,-0.00642834808504673,0.02503766767276712,1,-0.009546539379475022,0.5384615384615384,0.8348623853211009,0.2815384615384615,,True,False,False,False,False,False,False,False,False,1,Very low,Low risk,81-day practical cushion; 1 risk flag(s)
63,Akron-Westfield,2023,7949058.95,8374067.73,1672703.02,1335944.9,0.0,407216.92,2322284.66,5236321.09,2078198.72,328348.08,12257185.39,2025.0,8374068.0,1674814.0,1335945.0,338869.0,338869.0,Max,556.0,4261997.0,7665.462230215828,1335944.9,CAR (split),1335944.9,0.0,False,False,Akron-Westfield,0.15953356756525777,0.15953356756525777,0.19974796884046697,0.20816189648850617,58.229752161319084,58.229752161319084,75.97909221830476,0.04046647470810461,1.0,0.0,0.5089518185685847,-0.05346655279239063,-0.011253995007237715,2,-0.012959346706905654,0.3294460641399417,0.7852760736196319,0.7476923076923077,False,True,True,False,False,False,True,False,False,False,3,Low,Low risk,58-day practical cushion; 3 risk flag(s)
63,Akron-Westfield,2024,8144828.83,8463069.55,1354462.3,861250.52,0.0,,,,,,1555862.33,2026.0,8463070.0,1692614.0,861251.0,831363.0,831363.0,Max,555.2,4299839.0,7744.666786743515,861250.52,CAR (split),861250.52,0.0,False,False,Akron-Westfield,0.10176573817711329,0.10176573817711329,0.16004385784588052,,37.144494434646354,37.144494434646354,,0.0982342157403161,1.0,0.0,0.508070857104087,-0.039072732729240264,-0.03298921120222587,3,-0.03844821614132306,0.17261904761904762,0.7648902821316614,0.9655172413793104,False,True,True,False,True,True,True,False,False,False,5,Moderate,High risk,37-day practical cushion; 5 risk flag(s)
72,Albert City-Truesdale,2017,2456461.0,2475487.0,404790.0,,,368880.0,608576.0,767173.0,0.0,0.0,2168322.0,,,,,,,,202.0,581714.0,2879.772277227723,,missing,,,False,False,Albert City-Truesdale,,,0.16351933983091005,,,,,,,,0.23498972121445194,-0.007745288852540301,,0,,,0.5255255255255256,,,True,False,False,False,False,False,False,False,False,1,,Unscored (insufficient component data),1 risk flag(s)
72,Albert City-Truesdale,2018,2552741.0,2527033.0,430499.0,,,403920.0,682040.0,608885.0,0.0,0.0,2144075.0,,,,,,,,203.2,555749.0,2734.9852362204724,,missing,,,False,False,Albert City-Truesdale,,,0.17035749038496925,,,,,,,,0.2199215443565636,0.010070743565445926,0.0011627273564528127,0,,,0.4444444444444444,,,False,False,False,False,False,False,False,False,False,0,,Unscored (insufficient component data),0 risk flag(s)
72,Albert City-Truesdale,2019,2753485.07,2633194.68,550789.73,,,378738.97,638977.88,477148.14,0.0,0.0,2064658.02,,,,,,,,214.2,688893.0,3216.120448179272,,missing,,,False,False,Albert City-Truesdale,,,0.20917167051241345,,,,,,,,0.26161871176194235,0.04368659605624797,0.015337350256384533,0,,,0.5107033639143731,,,False,False,False,False,False,False,False,False,False,0,,Unscored (insufficient component data),0 risk flag(s)
72,Albert City-Truesdale,2020,2748864.99,2739900.25,559754.47,,,386444.08,537755.46,276461.63,0.0,0.0,1779676.61,2022.0,2739900.0,547980.0,425823.0,122157.0,122157.0,Max,202.2,958611.0,4740.905044510386,425823.0,SBRC (combined),,,False,False,Albert City-Truesdale,,0.15541551193332678,0.20429739002359665,0.29645863202501627,,56.726661855664275,108.20740068913094,0.0445844698178337,1.0,0.0,0.34987076628063374,0.003261251473831104,0.019006197031841667,0,0.0009900990099009337,0.3516819571865443,0.672782874617737,0.764525993883792,,False,False,False,False,True,True,False,False,False,2,Low,Low risk,57-day practical cushion; 2 risk flag(s)
72,Albert City-Truesdale,2021,3180656.62,2761298.44,979112.65,,,331152.64,669351.41,493155.92,0.0,0.0,2491502.5,2023.0,2761298.0,552260.0,828332.0,0.0,0.0,,216.9,1371883.0,6324.956201014292,828332.0,SBRC (combined),,,False,False,Albert City-Truesdale,,0.29997916487433357,0.3545841462902503,0.41990558615605494,,109.49239517913175,153.26553894696005,0.0,,0.0,0.49682532685601344,0.131846417297319,0.059598088275799356,0,0.06742125984251977,0.7614678899082569,0.8348623853211009,0.2889908256880734,,False,False,False,False,False,False,False,False,False,0,Very low,Low risk,109-day practical cushion; 0 risk flag(s)
